recording,num_neurons,alone_rewarded,alone_rewarded_baseline,high_comp,high_comp_lose,high_comp_lose_baseline,high_comp_win,high_comp_win_baseline,lose,low_comp,low_comp_lose,low_comp_lose_baseline,low_comp_win,low_comp_win_baseline,overall_pretone,win
20230612_101430_standard_comp_to_training_D1_subj_1-3_t3b3L_box2_merged.rec,22,40,40,9,1,40,8,40,7,11,6,40,5,40,160.0,13
20230612_101430_standard_comp_to_training_D1_subj_1-4_t4b2L_box1_merged.rec,10,40,40,9,8,40,1,40,13,11,5,40,6,40,160.0,7
20230612_112630_standard_comp_to_training_D1_subj_1-1_t1b3L_box2_merged.rec,15,40,40,14,10,40,4,40,13,6,3,40,3,40,160.0,7
20230612_112630_standard_comp_to_training_D1_subj_1-2_t2b2L_box1_merged.rec,20,40,40,14,4,40,10,40,7,6,3,40,3,40,160.0,13
20230613_105657_standard_comp_to_training_D2_subj_1-1_t1b2L_box1_merged.rec,15,40,0,11,0,0,11,0,1,9,1,0,8,0,,19
20230613_105657_standard_comp_to_training_D2_subj_1-4_t4b3L_box2_merged.rec,37,40,0,11,11,0,0,0,19,9,8,0,1,0,,1
20230614_114041_standard_comp_to_training_D3_subj_1-1_t1b3L_box1_merged.rec,31,38,38,14,5,38,9,38,6,6,1,38,5,38,152.0,14
20230614_114041_standard_comp_to_training_D3_subj_1-2_t2b2L_box2_merged.rec,27,38,38,14,9,38,5,38,14,6,5,38,1,38,152.0,6
20230616_111904_standard_comp_to_training_D4_subj_1-2_t2b2L_box2_merged.rec,19,39,39,11,1,39,10,39,6,9,5,39,4,39,156.0,14
20230616_111904_standard_comp_to_training_D4_subj_1-4_t4b3L_box1_merged.rec,15,39,39,11,10,39,1,39,14,9,4,39,5,39,156.0,6
20230617_115521_standard_comp_to_omission_D1_subj_1-1_t1b3L_box1_merged.rec,18,0,0,15,1,0,14,0,2,6,1,0,5,0,,19
20230617_115521_standard_comp_to_omission_D1_subj_1-2_t2b2L_box2_merged.rec,29,0,0,15,14,0,1,0,19,6,5,0,1,0,,2
20230618_100636_standard_comp_to_omission_D2_subj_1-1_t1b2L_box2_merged.rec,21,0,0,9,3,0,6,0,6,11,3,0,8,0,,14
20230618_100636_standard_comp_to_omission_D2_subj_1-4_t4b3L_box1_merged.rec,12,0,0,9,6,0,3,0,14,11,8,0,3,0,,6
20230619_115321_standard_comp_to_omission_D3_subj_1-4_t3b3L_box2_merged.rec,18,0,0,12,12,0,0,0,15,7,3,0,4,0,,4
20230620_114347_standard_comp_to_omission_D4_subj_1-1_t1b2L_box_2_merged.rec,10,0,0,11,4,0,7,0,4,6,0,0,6,0,,13
20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,28,0,0,11,7,0,4,0,13,6,6,0,0,0,,4
20230621_111240_standard_comp_to_omission_D5_subj_1-4_t3b3L_box1_merged.rec,20,0,0,10,10,10,0,0,18,10,8,8,2,2,20.0,2
20240317_151922_long_comp_subj_3-1_t6b6_merged.rec,7,0,0,28,12,0,16,0,12,2,0,0,2,0,,18
20240317_151922_long_comp_subj_3-3_t5b5_merged.rec,13,0,0,28,16,0,12,0,18,2,2,0,0,0,,12
20240317_172017_long_comp_subj_4-2_t6b6_merged.rec,11,0,0,36,30,0,6,0,33,3,3,0,0,0,,6
20240317_172017_long_comp_subj_4-3_t5b5_merged.rec,22,0,0,36,6,0,30,0,6,3,0,0,3,0,,33
20240318_143819_long_comp_subj_3-3_t6b6_merged.rec,23,0,0,15,15,0,0,0,41,26,26,0,0,0,,0
20240318_143819_long_comp_subj_3-4_t5b5_merged.rec,6,0,0,15,0,0,15,0,0,26,0,0,26,0,,41
20240318_170933_long_comp_subj_4-3_t6b6_merged.rec,24,0,0,33,4,0,29,0,4,6,0,0,6,0,,35
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,18,0,0,9,1,0,8,0,1,30,0,0,30,0,,38
20240320_114629_long_comp_subj_5-3_t6b6_merged.rec,4,0,0,31,11,0,20,0,14,9,3,0,6,0,,26
20240320_142408_alone_comp_subj_3-1_t6b6_merged.rec,15,42,1,11,2,1,9,1,8,9,6,1,3,1,4.0,12
20240320_142408_alone_comp_subj_3-3_t5b5_merged.rec,10,42,1,11,9,1,2,1,12,9,3,1,6,1,4.0,8
20240320_171038_alone_comp_subj_4-2_t6b6_merged.rec,6,42,0,11,11,0,0,0,19,8,8,0,0,0,,0
20240320_171038_alone_comp_subj_4-3_t5b5_merged.rec,23,42,0,11,0,0,11,0,0,8,0,0,8,0,,19
20240321_114851_long_comp_subj_5-3_t5b5_merged.rec,8,0,0,33,6,0,27,0,6,1,0,0,1,0,,28
20240322_120625_alone_comp_subj_3-3_t6b6_merged.rec,15,42,0,15,14,0,1,0,20,6,6,0,0,0,,1
20240322_120625_alone_comp_subj_3-4_t5b5_merged.rec,7,42,0,15,1,0,14,0,1,6,0,0,6,0,,20
20240322_160946_alone_comp_subj_4-3_t6b6_merged.rec,24,42,0,17,1,0,16,0,1,4,0,0,4,0,,20
20240323_122227_alone_comp_subj_5-2_t6b6_merged.rec,6,42,0,16,16,0,0,0,19,3,3,0,0,0,,0
20240323_144517_alone_comp_subj_3-1_t5b5_merged.rec,14,42,1,17,16,1,1,1,17,2,1,1,1,1,4.0,2
20240323_144517_alone_comp_subj_3-4_t6b6_merged.rec,9,42,1,17,1,1,16,1,2,2,1,1,1,1,4.0,17
20240323_165815_alone_comp_subj_4-2_t5b5_merged.rec,17,42,2,10,7,2,3,2,10,6,3,2,3,2,8.0,6
